24349368	(-2.4934997,53.5951096)	Bob's Smithy Inn
24557332	(-2.2376435,51.8521268)	Duke of Wellington
24557376	(-2.2363627,51.8547168)	New Victory
24557377	(-2.2358053,51.8550298)	Golden Heart
24557414	(-2.2371479,51.8606879)	One-eyed Jacks
24557416	(-2.2363423,51.8603223)	Blenheim Inn
24557477	(-2.2373914,51.8531505)	Victory
24673114	(0.1398253,52.1885950)	Rathmore Club
24926754	(-2.9780901,53.4056664)	The Vines
24934413	(-2.8667877,53.3755419)	The Famous Elephant
24966839	(-1.1300445,51.6805542)	The Crazy Bear
24982331	(-2.8819566,53.2713899)	The Gunners
24982585	(-0.1234805,52.3342092)	The Three Jolly Butchers
24987653	(-2.9254020,53.3995876)	The Wellington
24987678	(-2.9541608,53.4051381)	The Royal Arms
24987679	(-2.9546168,53.4054783)	The Weighing Machine
25032576	(-2.4491795,51.7388769)	The Berkeley Arms
25067147	(-0.1750496,51.2339184)	The Garibaldi
25074467	(-2.2500445,51.8614917)	Whitesmiths Arms
25103008	(-2.9168497,53.4270568)	Jolly Miller
25153267	(-2.5259338,51.6066448)	The Malthouse
25177599	(-3.1691853,53.3741534)	The Viking
25179690	(-0.3542161,51.7537248)	The Six Bells
25179708	(-0.3536559,51.7539842)	The Rose & Crown
25179746	(-0.3464959,51.7517260)	Lower Red Lion
25180487	(-0.2009453,51.2197126)	The Beehive
25180949	(-1.2833285,51.8263429)	The Kings Arms
25242703	(-2.2649037,51.9238765)	Boat Inn
25242709	(-2.2872975,51.9092383)	Rising Sun
25242711	(-2.2927824,51.9223210)	Royal Exchange
25255047	(-0.2058574,51.2378275)	The Market Stores
25255048	(-0.2098391,51.2381379)	The Red Cross Inn
25255049	(-0.2092382,51.2377027)	The Bull's Head
25258660	(-2.0491262,51.8509509)	Seven Springs
25260697	(-2.8872663,53.2670564)	Wing Half PH
25269344	(-2.9155827,53.3973920)	Coffee House
25282935	(-0.9736907,52.1855485)	Queen Victoria
25282936	(-0.9733021,52.1864146)	The Eykyn Arms
